Country,Category,HS_Code,Year,CIF_Value_USD,Net_Weight_Kg,Quantity
Peru,Lithium_battery,850760,2024,1671484.0,135281.399,5416.0
Peru,Lithium_battery,850760,2024,64336.429,604.319,1148.0
Peru,Lithium_battery,850760,2024,6075.485,48.483,1056.0
Peru,Lithium_battery,850760,2024,2107375.005,45520.516,26395.0
Peru,Lithium_battery,850760,2024,750944.307,9772.555,17738.0
Peru,Lithium_battery,850760,2024,295612.092,16499.934,20420.0
Peru,Lithium_battery,850760,2024,2324.711,16.5,5.0
Peru,Lithium_battery,850760,2024,214.142,2.716,1.0
Peru,Lithium_battery,850760,2024,6740.5,57.0,1.0
Peru,General_auto_parts,8708,2021,379146972.09,46918973.98,46918973.98
Peru,General_auto_parts,8708,2022,414836978.971,47859762.559,47859762.559
Peru,General_auto_parts,8708,2023,387589533.62,46085599.57,46085599.57
Peru,General_auto_parts,8708,2024,67149051.563,2822163.504,2822163.504
Peru,General_auto_parts,8708,2024,19697393.857,381650.586,381650.586
Peru,General_auto_parts,8708,2024,46927337.443,2420403.573,2420403.573
Peru,General_auto_parts,8708,2024,34454769.625,1174157.72,1174157.72
Peru,General_auto_parts,8708,2024,533004.978,52302.467,52302.467
Peru,General_auto_parts,8708,2024,41345.044,1996.863,1996.863
Peru,General_auto_parts,8708,2024,27171.277,7703.658,7703.658
Peru,General_auto_parts,8708,2024,1145348.617,118840.218,118840.218
Peru,General_auto_parts,8708,2024,81246.157,4133.171,4133.171
Peru,General_auto_parts,8708,2024,1454495.223,252938.736,252938.736
Peru,General_auto_parts,8708,2024,376218.835,80539.18,80539.18
Peru,General_auto_parts,8708,2024,27580.656,4066.0,4066.0
Peru,General_auto_parts,8708,2024,33835.0,3256.999,3256.999
Peru,General_auto_parts,8708,2024,15271065.928,197349.063,197349.063
Peru,General_auto_parts,8708,2024,182183.724,4433.949,4433.949
Peru,General_auto_parts,8708,2024,21231.059,246.685,246.685
Peru,General_auto_parts,8708,2024,285625.506,5606.503,5606.503
Peru,General_auto_parts,8708,2024,11362.083,191.055,191.055
Peru,General_auto_parts,8708,2024,115391.041,1571.888,1571.888
Peru,General_auto_parts,8708,2024,1666642.167,63964.313,63964.313
Peru,General_auto_parts,8708,2024,344948.182,97673.6,97673.6
Peru,General_auto_parts,8708,2024,524320.263,20109.345,20109.345
Peru,General_auto_parts,8708,2024,2381830.869,120700.729,120700.729
Peru,General_auto_parts,8708,2024,62576.103,2243.548,2243.548
Peru,General_auto_parts,8708,2024,92608.24,4324.226,4324.226
Peru,General_auto_parts,8708,2024,1569886.264,254510.624,254510.624
Peru,General_auto_parts,8708,2024,1430974.123,124446.721,124446.721
Peru,General_auto_parts,8708,2024,49725835.553,1371506.783,1371506.783
Peru,General_auto_parts,8708,2024,1507.589,12.121,12.121
Brazil,EV_100pct,870380,2021,110056964.0,5734100.0,0.0
Brazil,EV_100pct,870380,2021,25996.0,1877.0,5.0
Brazil,EV_100pct,870380,2021,110363962.0,5743221.0,0.0
Brazil,EV_100pct,870380,2021,17248.0,500.0,1.0
Brazil,EV_100pct,870380,2021,263754.0,6744.0,4.0
Brazil,EV_100pct,870380,2022,257767662.0,15701495.0,9411.0
Brazil,EV_100pct,870380,2023,795816602.0,47297149.0,28412.944
Brazil,EV_100pct,870380,2023,796048720.0,47305395.0,28418.944
Brazil,EV_100pct,870380,2023,168532.0,5166.0,4.0
Brazil,EV_100pct,870380,2023,63586.0,3080.0,2.0
Brazil,EV_100pct,870380,2024,580999.0,25160.0,16.0
Brazil,EV_100pct,870380,2024,1690068119.0,119117842.0,80376.05
Brazil,EV_100pct,870380,2024,282503.0,6248.0,5.0
Brazil,EV_100pct,870380,2024,1690931621.0,119149250.0,80397.05
Brazil,EV_100pct,870380,2025,444885.0,9729.0,16.0
Brazil,EV_100pct,870380,2025,1068057072.0,95995044.0,68220.0
Brazil,EV_100pct,870380,2025,1068501957.0,96004773.0,68236.0
